stock,abs_error,rel_score,abs_pass,rel_pass
s1,0.011634598654972121,-0.04722589507446551,False,False
s2,0.022212381182754436,0.044176290227570636,False,True
s3,0.02236525917895133,-0.029147795810582355,False,False
s4,0.01915694606364646,-0.07664790314606473,False,False
s5,0.02071744777764341,-0.0037581607682082296,False,False
s6,0.015824034836912314,-0.048339062292447776,False,False
s7,0.01977926999119858,-0.014938943792471848,False,False
s8,0.019984587935475875,-0.34551859780429783,False,False
s9,0.021653856724505025,-0.0065449997476210164,False,False
s10,0.018835692969817977,0.0921582144905374,False,True
s11,0.016245830713211173,-0.00794485979870685,False,False
s12,0.02325059532049492,-0.05305240827800639,False,False
s13,0.020992057082425845,-0.13009939984084107,False,False
s14,0.023625155596297027,-0.0990064159881272,False,False
s15,0.01613184962662093,-0.13099486851457187,False,False
s16,0.018018389287956814,-0.029792427508170904,False,False
s17,0.01695649365789186,-0.04736601758296399,False,False
s18,0.018647974120603143,-0.042875791989346546,False,False
s19,0.018250819651161543,-0.006347822952862181,False,False
s20,0.02078294864457402,-0.012689019210217811,False,False
s21,0.018186004500632753,-0.0794143709406121,False,False
s22,0.03151113963141673,-0.00776350315994101,False,False
s23,0.01717547417693605,0.045345887616787595,False,True
s24,0.014381319231506868,-0.04974943171378898,False,False
s25,0.012351971430223624,-0.003095449536587136,False,False
s26,0.024345290591020283,0.019713118805150143,False,True
s27,0.012132452812877942,-0.03176282170168099,False,False
s28,0.01393610843797312,-0.029456177040074083,False,False
s29,0.022281620652186914,0.016038042053555523,False,True
s30,0.01607442550764176,-0.12297010554841115,False,False
